id,subsection,element,Value
62,Variable pre-selection,Variable pre-selection,"We identified six bioclimatic variables based on the variance inflation factor. However, this study did not include elevation, slope, and aspect as predictors because we deemed them to be only indirectly related to the distribution and physiology of plants [@Korner2007]. Further, we deemed topographic heterogeneity less important than the climatic factors at regional scales."
63,Multicollinearity,Multicollinearity,Variables with a VIF greater than 10 were considered correlated [@Guisan2017] and excluded from further analysis to minimize the bias due to multicollinearity among predictors [@Dormann2013]. This VIF-based variable selection identified six bioclimatic variables.
64,Model settings,Model fitting,Default settings for MaxEnt
65,Model settings,featureSet,linear = TRUE; quadratic = TRUE; product = TRUE; threshold = TRUE; hinge = TRUE
66,Model settings,featureRule,lq2lqptthreshold = 80; l2lqthreshold = 10; hingethreshold = 15
67,Model settings,regularization,beta_threshold = -1.0; beta_categorical = -1.0; beta_lqp = -1.0; beta_hinge = -1.0; betamultiplier = 1
68,Model settings,other,memory_allocated = 1024; maximumiterations = 500; defaultprevalence = 0.5
69,Model settings,Extrapolation,Predictions bounded by clamping
70,Model estimates,Variable importance,"Each environmental variable was shuffled, and model predictions were computed using the shuffled variable to estimate the importance of environmental variables [@R-biomod2; @Thuiller2009]. The Pearson's correlation coefficient (r) was calculated between the reference predictions and the predictions from the shuffled variable. The final variable importance score is calculated by subtracting Pearson's correlation from one (1 - r)."
71,Model ensembles,Model selection,"Ensemble models were built for each species to summarise the performances of the 12 individual models (3 pseudo-absence sets &times; 4 cross-validation runs). Since the performance of the ensemble model depends on the quality of individual models, a threshold TSS score of 0.7 was used to exclude low-quality models (TSS < 0.7), perform binary transformation for EMca (presence = TSS > 0.7 and absence = TSS < 0.7) and define model weights for EMwmean [@Nikkel2023]. "
72,Model ensembles,Ensemble methods,"Two popular methods were used for building ensemble models [@Hao2019]: committee averaging (EMca) and weighted mean (EMwmean). The EMca approach first transforms the probabilities from selected models into the binary species presence (1) and absence (0) based on a threshold defined by maximizing the evaluation metric score on a testing dataset. Then, it takes the average of binary predictions from all selected models. Thus, the committee averaging a score of 0 or 1 means all models agree, whereas any values between 0 and 1 indicate at least one model disagrees with predictions. On the other hand, the EMwmeans approach weights the probabilities from each model based on the evaluation score and then sums all the probabilities. The individual model with better performance receives higher weight and, therefore, has higher importance in the ensemble. "
73,Non-independence,Spatial autocorrelation,Randomly selected unique records within 0.2-degrees (~22.22 km) cells to minimize spatial dependence
74,Threshold selection,Threshold selection,The threshold value maximizing the true skill statistic (TSS) is considered the optimum threshold to convert probabilities into binary species presence and absence [@Liu2013].
75,**Assessment**,,
76,Performance statistics,Training data,The predictive accuracy of models was evaluated using the true skill statistic (TSS) and the area under the receiver operating characteristic curve (AUC~ROC~). 
77,Performance statistics,Validation data,The predictive accuracy of models was evaluated using the true skill statistic (TSS) and the area under the receiver operating characteristic curve (AUC~ROC~). 
78,Plausibility check,Response curves,The evaluation strip procedure was used to analyze how each environmental variable influences the probability of species' presence or habitat suitability [@Elith2005].
79,**Prediction**,,
80,Prediction output,Prediction unit,potential presence and absence 
81,Prediction output,Post-processing,none
82,Uncertainty quantification,Model uncertainty,Model performance was compared to assess uncertainty due to random background sampling and random splitting of the dataset. Ensembling was performed for good-quality models selected by thresholding.
